DN,geometry,mndwi,ndvi2,b5b4,b6b4,b7b4,b8ab4,b8b4,evi,nrvi,ndwi,gndvi,ndvi,b3b2,b3b4,oc2,b3b1,oc4,Fecha
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.5194664,0.17263658,0.5684328,0.6185472,0.83586454,0.5693831,0.7164297,0.0437214091585412,0.08797244,0.43123242,-0.43123242,-0.08797244,0.5886736,3.033669,1.1602745104268832,0.8302176,1.3922046251223488,2019-01-31
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.20878363260635, -72.14632662759655 -39.29171609963626, -72.06339416056665 -39.29171609963626, -72.06339416056665 -39.20878363260635, -72.14632662759655 -39.20878363260635))",0.20312522,0.007734181,0.4376362,0.45227054,0.5267746,0.52591646,0.48294798,0.0379636715982202,0.028871723,0.1927906,-0.1927906,-0.028871723,0.49307767,1.1423545,20478.508126966943,0.52489716,1.9841934173506528,2019-02-15
15,"POLYGON ((-72.14632662759655 -39.20878363260635, -72.06339416056665 -39.20878363260635, -72.06339416056665 -39.2502498661213, -72.14632662759655 -39.2502498661213, -72.14632662759655 -39.20878363260635))",0.49934572,0.03304589,0.9726885,0.9053939,1.0299294,0.99992836,0.8948865,0.0425457546157822,0.06828669,0.4684838,-0.4684838,-0.06828669,1.0888948,2.6090827,2.898699026134488,1.1353612,3.706298674300255,2019-02-15
20,"POLYGON ((-72.14632662759655 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.2502498661213))",0.5168307,0.08661794,1.036161,0.9675424,1.0687549,1.0176848,0.9193224,0.0297516876159645,0.04812984,0.4522349,-0.4522349,-0.04812984,1.1482157,2.475639,2.885685166732308,1.1687231,3.4755156397903617,2019-02-15
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.34263593,0.09905833,0.5768605,0.6450348,0.75625074,0.79908323,0.9587556,0.0251949228514221,-0.015055116,0.26030505,-0.26030505,0.015055116,0.87408876,2.176644,142425492.8465647,1.3053873,5.546057157819897,2019-03-20
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.3202768,0.20653757,0.6907887,0.8316323,0.8988423,0.8537888,0.8687402,0.0137078507339479,-0.03586748,0.16205291,-0.16205291,0.03586748,0.7344572,1.2950622,1.9497070285124416,0.74542,2.434450180819391,2020-01-24
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.20878363260635, -72.14632662759655 -39.29171609963626, -71.98046169353672 -39.29171609963626, -71.98046169353672 -39.2502498661213, -72.02192792705168 -39.2502498661213, -72.02192792705168 -39.20878363260635, -72.14632662759655 -39.20878363260635))",0.17515638,0.0061973054,0.24374464,0.28481027,0.3616065,0.36046085,0.3614315,0.0290238073344873,0.030458793,0.16397655,-0.16397655,-0.030458793,0.27084634,1.6649637,23253.65340913036,0.27343574,1.0094336393732075,2019-02-25
6,"POLYGON ((-72.14632662759655 -39.20878363260635, -72.1048603940816 -39.20878363260635, -72.1048603940816 -39.2502498661213, -72.14632662759655 -39.2502498661213, -72.14632662759655 -39.20878363260635))",0.657229,0.14486043,0.8743819,0.9194623,1.168109,1.1202518,1.1133083,0.0295857395441636,0.01669019,0.5806479,-0.5806479,-0.01669019,0.8624052,4.851316,10359.921861065077,0.8349163,2.220127221640986,2019-02-25
7,"POLYGON ((-72.1048603940816 -39.20878363260635, -72.06339416056665 -39.20878363260635, -72.06339416056665 -39.2502498661213, -72.1048603940816 -39.2502498661213, -72.1048603940816 -39.20878363260635))",0.79096186,0.17241004,0.87890273,0.89251626,1.223973,1.0816811,1.2305803,0.0122095909929805,0.04006031,0.71020323,-0.71020323,-0.04006031,0.9248376,8.984333,1.842775279403657,0.92753327,2.017649620113809,2019-02-25
8,"POLYGON ((-72.06339416056665 -39.20878363260635, -72.02192792705168 -39.20878363260635, -72.02192792705168 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.20878363260635))",0.65849364,0.11226741,0.7601071,1.0483133,1.4361322,1.3295491,1.6418186,0.0443312275961364,-0.005173694,0.5985909,-0.5985909,0.005173694,0.82779807,12.71641,965588.6915085618,0.85871965,3.2723817783052027,2019-02-25
